University_Name,Location,Ranking,Tutionfee,Enrollment
University of Alabama--Huntsville,Huntsville,101,"[['full-time', '$10,632 per year (in-state)'], ['full-time', '$24,430 per year (out-of-state)'], ['part-time', '$9,668 per credit (in-state)'], ['part-time', '$22,182 per credit (out-of-state)']]",228
University of Kentucky,Lexington,101,"[['full-time', '$13,538 per year (in-state)'], ['full-time', '$33,216 per year (out-of-state)'], ['part-time', '$734 per credit (in-state)'], ['part-time', '$1,827 per credit (out-of-state)']]",389
University of Miami,Coral Gables,101,"[['full-time', '$2,170 per credit'], ['part-time', '$2,170 per credit']]",235
University of Oklahoma,Norman,101,"[['full-time', '$289 per credit (in-state)'], ['full-time', '$900 per credit (out-of-state)'], ['part-time', '$289 per credit (in-state)'], ['part-time', '$900 per credit (out-of-state)']]",415
University of South Carolina,Columbia,101,"[['full-time', '$15,709 per year (in-state)'], ['full-time', '$31,735 per year (out-of-state)'], ['part-time', '$572 per credit (in-state)'], ['part-time', '$1,240 per credit (out-of-state)']]",466
Kansas State University,Manhattan,108,"[['full-time', '$426 per credit (in-state)'], ['full-time', '$960 per credit (out-of-state)'], ['part-time', '$426 per credit (in-state)'], ['part-time', '$960 per credit (out-of-state)']]",231
Oklahoma State University,Stillwater,108,"[['full-time', '$230 per credit (in-state)'], ['full-time', '$876 per credit (out-of-state)'], ['part-time', '$230 per credit (in-state)'], ['part-time', '$876 per credit (out-of-state)']]",322
University of Kansas,Lawrence,108,"[['full-time', '$8,530 per year (in-state)'], ['full-time', '$19,002 per year (out-of-state)'], ['part-time', '$474 per credit (in-state)'], ['part-time', '$1,056 per credit (out-of-state)']]",381
,,,,
University of Maryland--Baltimore County,Baltimore,108,"[['full-time', '$659 per credit (in-state)'], ['full-time', '$1,132 per credit (out-of-state)'], ['part-time', '$659 per credit (in-state)'], ['part-time', '$1,132 per credit (out-of-state)']]",649
University of Missouri,Columbia,108,"[['full-time', '$7,101 per year (in-state)'], ['full-time', '$19,460 per year (out-of-state)']]",202
Binghamton University--SUNY (Watson),Binghamton,113,"[['full-time', '$11,310 per year (in-state)'], ['full-time', '$23,100 per year (out-of-state)'], ['part-time', '$471 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]",881
Louisiana State University--Baton Rouge,Baton Rouge,113,"[['full-time', '$8,728 per year (in-state)'], ['full-time', '$25,643 per year (out-of-state)'], ['part-time', '$3,976 per year (in-state)'], ['part-time', '$11,215 per year (out-of-state)']]",436
SMU (Lyle),Dallas,113,"[['full-time', '$1,200 per credit'], ['part-time', '$1,200 per credit']]",251
University of Arkansas--Fayetteville,Fayetteville,113,"[['full-time', '$11,655 per year (in-state)'], ['full-time', '$31,617 per year (out-of-state)'], ['part-time', '$5,827 per year (in-state)'], ['part-time', '$15,809 per year (out-of-state)']]",348
University of Georgia,Athens,113,"[['full-time', '$13,317 per year (in-state)'], ['full-time', '$37,779 per year (out-of-state)'], ['part-time', '$370 per credit (in-state)'], ['part-time', '$1,050 per credit (out-of-state)']]",158
Utah State University,Logan,113,"[['full-time', '$6,164 per year (in-state)'], ['full-time', '$21,575 per year (out-of-state)'], ['part-time', '$4,385 per year (in-state)'], ['part-time', '$15,347 per year (out-of-state)']]",307
Oregon Health and Science University,Portland,119,nun,61
University of California--Merced,Merced,119,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$15,102 per year (out-of-state)']]",223
,,,,
Clarkson University,Potsdam,121,"[['full-time', '$24,984 per year'], ['part-time', '$1,388 per credit']]",190
Marquette University,Milwaukee,121,"[['full-time', '$1,205 per credit'], ['part-time', '$1,205 per credit']]",107
Temple University,Philadelphia,121,"[['full-time', '$20,430 per year (in-state)'], ['full-time', '$26,820 per year (out-of-state)'], ['part-time', '$1,135 per credit (in-state)'], ['part-time', '$1,490 per credit (out-of-state)']]",234
Tulane University,New Orleans,121,nun,125
Virginia Commonwealth University,Richmond,121,"[['full-time', '$12,618 per year (in-state)'], ['full-time', '$25,956 per year (out-of-state)'], ['part-time', '$701 per credit (in-state)'], ['part-time', '$1,442 per credit (out-of-state)']]",203
West Virginia University (Statler),Morgantown,121,"[['full-time', '$5,796 per year (in-state)'], ['full-time', '$14,157 per year (out-of-state)'], ['part-time', '$644 per credit (in-state)'], ['part-time', '$1,573 per credit (out-of-state)']]",419
Baylor University,Waco,127,"[['full-time', '$40,832 per year']]",128
CUNY--City College (Grove),New York,127,"[['full-time', '$12,970 per year (in-state)'], ['full-time', '$17,010 per year (out-of-state)'], ['part-time', '$550 per credit (in-state)'], ['part-time', '$945 per credit (out-of-state)']]",277
Florida International University,Miami,127,"[['full-time', '$10,944 per year (in-state)'], ['full-time', '$24,048 per year (out-of-state)'], ['part-time', '$456 per credit (in-state)'], ['part-time', '$1,002 per credit (out-of-state)']]",659
University of Louisville (Speed),Louisville,127,"[['full-time', '$13,260 per year (in-state)'], ['full-time', '$27,374 per year (out-of-state)'], ['part-time', '$737 per credit (in-state)'], ['part-time', '$1,521 per credit (out-of-state)']]",367
,,,,
University of Alabama,Tuscaloosa,131,"[['full-time', '$10,780 per year (in-state)'], ['full-time', '$30,250 per year (out-of-state)'], ['part-time', '$615 per credit (in-state)'], ['part-time', '$1,550 per credit (out-of-state)']]",412
University of Massachusetts--Lowell (Francis),Lowell,131,"[['full-time', '$14,590 per year (in-state)'], ['full-time', '$26,370 per year (out-of-state)'], ['part-time', '$811 per credit (in-state)'], ['part-time', '$1,465 per credit (out-of-state)']]",477
University of Nevada--Reno,Reno,131,"[['full-time', '$7,152 per year (in-state)'], ['full-time', '$22,802 per year (out-of-state)'], ['part-time', '$6,191 per year (in-state)'], ['part-time', '$8,203 per year (out-of-state)']]",263
Indiana University-Purdue University--Indianapolis,Indianapolis,134,"[['full-time', '$420 per credit (in-state)'], ['full-time', '$1,275 per credit (out-of-state)'], ['part-time', '$420 per credit (in-state)'], ['part-time', '$1,275 per credit (out-of-state)']]",109
Montana State University,Bozeman,134,"[['full-time', '$283 per credit (in-state)'], ['full-time', '$1,093 per credit (out-of-state)']]",234
Santa Clara University,Santa Clara,134,"[['full-time', '$1,044 per credit'], ['part-time', '$1,044 per credit']]",338
Wayne State University,Detroit,134,"[['full-time', '$18,901 per year (in-state)'], ['full-time', '$37,890 per year (out-of-state)'], ['part-time', '$788 per credit (in-state)'], ['part-time', '$1,579 per credit (out-of-state)']]",482
Boise State University,Boise,138,"[['full-time', '$7,110 per year (in-state)'], ['full-time', '$24,030 per year (out-of-state)'], ['part-time', '$252 per credit (in-state)'], ['part-time', '$609 per credit (out-of-state)']]",181
Ohio University (Russ),Athens,138,"[['full-time', '$8,188 per year (in-state)'], ['full-time', '$16,180 per year (out-of-state)'], ['part-time', '$505 per credit (in-state)'], ['part-time', '$1,001 per credit (out-of-state)']]",205
San Diego State University,San Diego,138,"[['full-time', '$9,504 per year'], ['part-time', '$4,752 per year']]",146
,,,,
University of Alabama--Birmingham,Birmingham,138,"[['full-time', '$450 per credit (in-state)'], ['full-time', '$1,066 per credit (out-of-state)'], ['part-time', '$450 per credit (in-state)'], ['part-time', '$1,066 per credit (out-of-state)']]",200
University of Colorado--Denver,Denver,138,"[['full-time', '$11,268 per year (in-state)'], ['full-time', '$24,804 per year (out-of-state)'], ['part-time', '$3,756 per year (in-state)'], ['part-time', '$8,268 per year (out-of-state)']]",287
University of Idaho,Moscow,138,"[['full-time', '$9,876 per year (in-state)'], ['full-time', '$29,112 per year (out-of-state)'], ['part-time', '$549 per credit (in-state)'], ['part-time', '$1,618 per credit (out-of-state)']]",200
University of New Hampshire,Durham,138,"[['full-time', '$15,604 per year (in-state)'], ['full-time', '$29,244 per year (out-of-state)'], ['part-time', '$865 per credit (in-state)'], ['part-time', '$1,448 per credit (out-of-state)']]",177
University of Tulsa,Tulsa,138,"[['full-time', '$1,310 per credit'], ['part-time', '$1,310 per credit']]",182
University of Vermont,Burlington,138,"[['full-time', '$683 per credit (in-state)'], ['full-time', '$1,720 per credit (out-of-state)'], ['part-time', '$683 per credit (in-state)'], ['part-time', '$1,720 per credit (out-of-state)']]",133
University of Wisconsin--Milwaukee,Milwaukee,138,"[['full-time', '$11,864 per year (in-state)'], ['full-time', '$25,295 per year (out-of-state)'], ['part-time', '$1,072 per credit (in-state)'], ['part-time', '$1,912 per credit (out-of-state)']]",288
University of Wyoming,Laramie,138,"[['full-time', '$282 per credit (in-state)'], ['full-time', '$843 per credit (out-of-state)'], ['part-time', '$282 per credit (in-state)'], ['part-time', '$843 per credit (out-of-state)']]",187
Howard University,Washington,149,"[['full-time', '$32,248 per year'], ['part-time', '$1,750 per credit']]",59
New Mexico State University,Las Cruces,149,"[['full-time', '$4,981 per year (in-state)'], ['full-time', '$17,330 per year (out-of-state)'], ['part-time', '$277 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]",286
,,,,
South Dakota School of Mines and Technology,Rapid City,149,"[['full-time', '$347 per credit (in-state)'], ['full-time', '$679 per credit (out-of-state)'], ['part-time', '$347 per credit (in-state)'], ['part-time', '$679 per credit (out-of-state)']]",146
University of Akron,Akron,149,"[['full-time', '$10,608 per year (in-state)'], ['full-time', '$17,952 per year (out-of-state)'], ['part-time', '$442 per credit (in-state)'], ['part-time', '$702 per credit (out-of-state)']]",335
University of North Carolina--Charlotte (Lee),Charlotte,149,"[['full-time', '$4,710 per year (in-state)'], ['full-time', '$11,427 per year (out-of-state)'], ['part-time', '$2,304 per year (in-state)'], ['part-time', '$5,662 per year (out-of-state)']]",299
Alfred University--New York State College of Ceramics  (Inamori),Alfred,154-202,"[['full-time', '$22,520 per year'], ['part-time', '$810 per credit']]",30
California State University--Long Beach,Long Beach,154-202,"[['full-time', '$8,280 per year (in-state)'], ['full-time', '$15,408 per year (out-of-state)']]",203
Cleveland State University (Washkewicz),Cleveland,154-202,"[['full-time', '$568 per credit (in-state)'], ['full-time', '$1,073 per credit (out-of-state)'], ['part-time', '$568 per credit (in-state)'], ['part-time', '$1,073 per credit (out-of-state)']]",309
Florida Atlantic University,Boca Raton,154-202,"[['full-time', '$372 per credit (in-state)'], ['full-time', '$1,027 per credit (out-of-state)'], ['part-time', '$372 per credit (in-state)'], ['part-time', '$1,027 per credit (out-of-state)']]",182
Florida Institute of Technology,Melbourne,154-202,"[['full-time', '$1,241 per credit'], ['part-time', '$1,241 per credit']]",313
Jackson State University,Jackson,154-202,"[['full-time', '$8,270 per year (in-state)'], ['full-time', '$10,445 per year (out-of-state)'], ['part-time', '$460 per credit (in-state)'], ['part-time', '$960 per credit (out-of-state)']]",42
Lamar University,Beaumont,154-202,"[['full-time', '$6,324 per year (in-state)'], ['full-time', '$13,920 per year (out-of-state)'], ['part-time', '$351 per credit (in-state)'], ['part-time', '$773 per credit (out-of-state)']]",184
,,,,
Lawrence Technological University,Southfield,154-202,"[['full-time', '$17,318 per year'], ['part-time', '$8,659 per year']]",21
Louisiana Tech University,Ruston,154-202,"[['full-time', '$4,806 per year (in-state)'], ['full-time', '$9,537 per year (out-of-state)'], ['part-time', '$2,322 per year (in-state)'], ['part-time', '$2,322 per year (out-of-state)']]",191
Morgan State University (Mitchell),Baltimore,154-202,"[['full-time', '$455 per credit (in-state)'], ['full-time', '$894 per credit (out-of-state)'], ['part-time', '$455 per credit (in-state)'], ['part-time', '$894 per credit (out-of-state)']]",111
New Mexico Institute of Mining and Technology,Socorro,154-202,"[['full-time', '$7,344 per year (in-state)'], ['full-time', '$24,292 per year (out-of-state)'], ['part-time', '$4,896 per year (in-state)'], ['part-time', '$4,896 per year (out-of-state)']]",129
North Carolina A&T State University,Greensboro,154-202,"[['full-time', '$4,745 per year (in-state)'], ['full-time', '$17,545 per year (out-of-state)'], ['part-time', '$3,559 per year (in-state)'], ['part-time', '$13,159 per year (out-of-state)']]",204
North Dakota State University,Fargo,154-202,"[['full-time', '$478 per credit (in-state)'], ['full-time', '$643 per credit (out-of-state)'], ['part-time', '$478 per credit (in-state)'], ['part-time', '$643 per credit (out-of-state)']]",173
Oakland University,Rochester,154-202,"[['full-time', '$770 per credit (in-state)'], ['full-time', '$1,027 per credit (out-of-state)'], ['part-time', '$770 per credit (in-state)'], ['part-time', '$1,027 per credit (out-of-state)']]",342
Old Dominion University  (Batten),Norfolk,154-202,"[['full-time', '$551 per credit (in-state)'], ['full-time', '$1,387 per credit (out-of-state)'], ['part-time', '$551 per credit (in-state)'], ['part-time', '$1,387 per credit (out-of-state)']]",216
Portland State University (Maseeh),Portland,154-202,"[['full-time', '$497 per credit (in-state)'], ['full-time', '$724 per credit (out-of-state)'], ['part-time', '$497 per credit (in-state)'], ['part-time', '$724 per credit (out-of-state)']]",317
Prairie View A&M University,Prairie View,154-202,"[['full-time', '$5,096 per year (in-state)'], ['full-time', '$14,316 per year (out-of-state)'], ['part-time', '$5,096 per year (in-state)'], ['part-time', '$14,316 per year (out-of-state)']]",88
,,,,
Saint Louis University (Parks),St. Louis,154-202,"[['full-time', '$1,190 per credit'], ['part-time', '$1,190 per credit']]",101
South Dakota State University,Brookings,154-202,"[['full-time', '$337 per credit (in-state)'], ['full-time', '$466 per credit (out-of-state)'], ['part-time', '$337 per credit (in-state)'], ['part-time', '$466 per credit (out-of-state)']]",105
Southern Illinois University--Carbondale,Carbondale,154-202,"[['full-time', '$5,634 per year (in-state)'], ['full-time', '$14,084 per year (out-of-state)'], ['part-time', '$2,817 per year (in-state)'], ['part-time', '$7,042 per year (out-of-state)']]",169
SUNY College of Environmental Science and Forestry,Syracuse,154-202,"[['full-time', '$11,310 per year (in-state)'], ['full-time', '$23,100 per year (out-of-state)'], ['part-time', '$472 per credit (in-state)'], ['part-time', '$693 per credit (out-of-state)']]",43
SUNY Polytechnic Institute,Albany,154-202,"[['full-time', '$471 per credit (in-state)'], ['full-time', '$963 per credit (out-of-state)'], ['part-time', '$471 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]",40
Tennessee State University,Nashville,154-202,"[['full-time', '$1,158 per year (in-state)'], ['full-time', '$10,476 per year (out-of-state)'], ['part-time', '$864 per year (in-state)'], ['part-time', '$6,984 per year (out-of-state)']]",58
Tennessee Technological University,Cookeville,154-202,"[['full-time', '$514 per credit (in-state)'], ['full-time', '$726 per credit (out-of-state)'], ['part-time', '$514 per credit (in-state)'], ['part-time', '$726 per credit (out-of-state)']]",184
Texas A&M University--Kingsville (Dotterweich),Kingsville,154-202,"[['full-time', '$3,408 per year (in-state)'], ['full-time', '$10,770 per year (out-of-state)'], ['part-time', '$519 per credit (in-state)'], ['part-time', '$1,197 per credit (out-of-state)']]",216
The Catholic University of America,Washington,154-202,"[['full-time', '$50,260 per year'], ['part-time', '$1,975 per credit']]",135
University of Alaska--Fairbanks,Fairbanks,154-202,"[['full-time', '$11,088 per year (in-state)'], ['full-time', '$21,276 per year (out-of-state)'], ['part-time', '$7,392 per year (in-state)'], ['part-time', '$14,184 per year (out-of-state)']]",34
,,,,
University of Arkansas--Little Rock,Little Rock,154-202,"[['full-time', '$345 per credit (in-state)'], ['full-time', '$740 per credit (out-of-state)'], ['part-time', '$345 per credit (in-state)'], ['part-time', '$740 per credit (out-of-state)']]",117
University of Colorado--Colorado Springs,Colorado Springs,154-202,"[['full-time', '$746 per credit (in-state)'], ['full-time', '$1,314 per credit (out-of-state)'], ['part-time', '$767 per credit (in-state)'], ['part-time', '$1,335 per credit (out-of-state)']]",25
University of Denver,Denver,154-202,"[['full-time', '$35,064 per year'], ['part-time', '$1,461 per credit']]",260
University of Detroit Mercy,Detroit,154-202,"[['full-time', '$824 per credit'], ['part-time', '$824 per credit']]",107
University of Hawaii--Manoa,Honolulu,154-202,"[['full-time', '$10,400 per year (in-state)'], ['full-time', '$22,432 per year (out-of-state)'], ['part-time', '$650 per credit (in-state)'], ['part-time', '$1,402 per credit (out-of-state)']]",154
University of Louisiana--Lafayette,Lafayette,154-202,"[['full-time', '$5,511 per year (in-state)'], ['full-time', '$19,238 per year (out-of-state)'], ['part-time', '$563 per credit (in-state)'], ['part-time', '$1,326 per credit (out-of-state)']]",211
University of Maine,Orono,154-202,"[['full-time', '$461 per credit (in-state)'], ['full-time', '$1,503 per credit (out-of-state)'], ['part-time', '$461 per credit (in-state)'], ['part-time', '$1,503 per credit (out-of-state)']]",190
University of Massachusetts--Dartmouth,North Dartmouth,154-202,"[['full-time', '$16,390 per year (in-state)'], ['full-time', '$29,578 per year (out-of-state)'], ['part-time', '$683 per credit (in-state)'], ['part-time', '$1,232 per credit (out-of-state)']]",156
University of Memphis (Herff),Memphis,154-202,"[['full-time', '$597 per credit (in-state)'], ['full-time', '$789 per credit (out-of-state)'], ['part-time', '$597 per credit (in-state)'], ['part-time', '$789 per credit (out-of-state)']]",144
University of Michigan--Dearborn,Dearborn,154-202,"[['full-time', '$810 per credit (in-state)'], ['full-time', '$1,437 per credit (out-of-state)'], ['part-time', '$810 per credit (in-state)'], ['part-time', '$1,437 per credit (out-of-state)']]",287
